Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 2 550 2.0 290 15 1.000  20 3.0E-1
20.11.2013, 14:40

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
535.07 1.000576 5.829408E-3 0.616466  1.116E-4 8.11735 26 550.00
535.29 1.000576 6.204006E-3 0.616607  1.116E-4 8.11567 56 549.55
535.46 1.000576 6.087243E-3 0.616575  1.116E-4 8.11399 86 549.00
535.65 1.000576 6.029480E-3 0.616463  1.117E-4 8.11384 116 548.35
535.76 1.000576 5.949094E-3 0.616498  1.117E-4 8.11252 145 547.50
535.79 1.000576 6.106804E-3 0.616337  1.117E-4 8.11295 175 546.70
535.80 1.000576 6.208598E-3 0.616412  1.115E-4 8.11353 205 545.85
535.79 1.000576 6.310483E-3 0.616576  1.115E-4 8.11206 234 544.90
535.70 1.000576 5.943278E-3 0.616547  1.116E-4 8.11248 264 544.00
535.60 1.000576 6.080000E-3 0.616632  1.115E-4 8.11154 294 543.05
535.45 1.000576 5.935774E-3 0.616543  1.116E-4 8.11045 323 542.05
535.27 1.000576 5.912649E-3 0.616689  1.115E-4 8.10808 353 541.00
535.02 1.000576 5.762370E-3 0.616546  1.115E-4 8.10723 383 540.00
534.75 1.000576 5.790484E-3 0.616852  1.115E-4 8.10744 413 539.00
534.41 1.000576 5.853142E-3 0.616804  1.115E-4 8.10814 442 538.05
534.07 1.000576 5.747962E-3 0.616831  1.115E-4 8.10566 472 537.05
533.66 1.000576 6.015966E-3 0.616967  1.115E-4 8.10538 502 536.15
533.19 1.000576 5.990382E-3 0.617031  1.115E-4 8.10473 531 535.25
532.69 1.000576 5.627130E-3 0.617182  1.114E-4 8.10488 561 534.25
532.15 1.000576 5.915125E-3 0.617312  1.115E-4 8.10471 591 533.25
531.58 1.000576 5.855994E-3 0.617401  1.113E-4 8.10404 620 532.25
531.00 1.000576 5.675590E-3 0.617613  1.113E-4 8.10556 650 531.30
530.40 1.000576 5.855051E-3 0.617739  1.113E-4 8.10491 680 530.35
529.75 1.000576 5.504096E-3 0.617820  1.113E-4 8.10479 709 529.30
529.06 1.000576 5.720819E-3 0.618016  1.113E-4 8.10371 739 528.25
528.42 1.000576 5.903858E-3 0.618123  1.113E-4 8.10308 769 527.25
527.68 1.000576 5.988732E-3 0.618288  1.113E-4 8.10280 799 526.25
526.93 1.000576 5.702461E-3 0.618424  1.112E-4 8.10124 828 525.20
526.16 1.000576 5.655802E-3 0.618522  1.112E-4 8.10175 858 524.25
525.41 1.000576 5.932370E-3 0.618529  1.112E-4 8.10119 888 523.20
524.63 1.000576 5.858714E-3 0.618941  1.111E-4 8.09864 917 522.20
