Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 23 450 2.0 290 999 1.000  20 1.0E-1
24.11.2013, 06:51

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
436.22 1.000576 2.015706E-2 0.652888  3.474E-5 8.27544 26 449.90
436.22 1.000576 2.026663E-2 0.652985  3.466E-5 8.27544 56 449.65
436.22 1.000576 2.054908E-2 0.653042  3.468E-5 8.27496 86 449.15
436.20 1.000576 2.060329E-2 0.652831  3.472E-5 8.27554 116 448.50
436.17 1.000576 2.047509E-2 0.652829  3.470E-5 8.27425 146 447.80
436.13 1.000576 2.043811E-2 0.653073  3.457E-5 8.27481 175 446.95
436.04 1.000576 2.025496E-2 0.653368  3.471E-5 8.27516 205 446.05
435.94 1.000576 2.087951E-2 0.653135  3.469E-5 8.27401 235 445.10
435.82 1.000576 2.048973E-2 0.653140  3.474E-5 8.27537 265 444.15
435.67 1.000576 2.049046E-2 0.653127  3.468E-5 8.27445 295 443.15
435.49 1.000576 2.053615E-2 0.653168  3.461E-5 8.27406 324 442.25
435.28 1.000576 2.033667E-2 0.653413  3.472E-5 8.27376 354 441.25
435.04 1.000576 2.075507E-2 0.653731  3.476E-5 8.27529 384 440.25
434.78 1.000576 2.080661E-2 0.653858  3.467E-5 8.27474 414 439.25
434.49 1.000576 2.072215E-2 0.654036  3.462E-5 8.27526 444 438.25
434.18 1.000576 1.988416E-2 0.654574  3.452E-5 8.27495 473 437.20
433.85 1.000576 2.040341E-2 0.654242  3.465E-5 8.27532 503 436.10
433.50 1.000576 2.013714E-2 0.654806  3.472E-5 8.27576 533 435.05
433.12 1.000576 2.016253E-2 0.655032  3.459E-5 8.27582 563 434.00
432.72 1.000576 2.028516E-2 0.655229  3.460E-5 8.27503 593 432.95
432.29 1.000576 2.007835E-2 0.655564  3.453E-5 8.27559 622 431.85
431.85 1.000576 2.045785E-2 0.655880  3.464E-5 8.27586 652 430.55
431.39 1.000576 2.001950E-2 0.656231  3.447E-5 8.27477 682 429.70
430.92 1.000576 2.034911E-2 0.656269  3.456E-5 8.27675 712 428.80
430.42 1.000576 1.989909E-2 0.656737  3.445E-5 8.27567 742 427.95
429.92 1.000576 1.981897E-2 0.657110  3.461E-5 8.27474 771 426.95
429.40 1.000576 1.970076E-2 0.657390  3.443E-5 8.27632 801 426.00
428.87 1.000576 2.019076E-2 0.657869  3.442E-5 8.27622 831 425.05
