Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 21 440 2.0 450 120 1.000  20 1.0E-1
23.11.2013, 23:09

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
426.40 1.000576 1.767732E-2 0.659990  3.441E-5 8.30751 26 440.00
426.43 1.000576 1.764975E-2 0.659981  3.443E-5 8.30767 56 440.25
426.44 1.000576 1.743047E-2 0.660059  3.449E-5 8.30709 86 440.80
426.42 1.000576 1.726768E-2 0.660229  3.435E-5 8.30709 116 441.40
426.44 1.000576 1.806965E-2 0.660490  3.429E-5 8.30618 146 442.10
426.52 1.000576 1.782932E-2 0.660084  3.432E-5 8.30663 175 443.00
426.55 1.000576 1.804190E-2 0.660174  3.438E-5 8.30603 205 443.95
426.64 1.000576 1.782653E-2 0.660035  3.453E-5 8.30726 235 444.95
426.77 1.000576 1.756265E-2 0.659851  3.432E-5 8.30533 265 445.95
426.96 1.000576 1.772693E-2 0.660306  3.444E-5 8.30758 295 447.00
427.11 1.000576 1.769707E-2 0.659682  3.440E-5 8.30579 324 448.00
427.35 1.000576 1.799931E-2 0.659461  3.442E-5 8.30730 354 448.60
427.63 1.000576 1.792388E-2 0.659384  3.445E-5 8.30566 384 449.10
427.92 1.000576 1.816005E-2 0.659420  3.434E-5 8.30607 414 449.40
428.21 1.000576 1.811821E-2 0.659327  3.445E-5 8.30531 444 449.60
428.50 1.000576 1.840369E-2 0.659083  3.438E-5 8.30459 473 449.80
428.81 1.000576 1.813774E-2 0.658785  3.446E-5 8.30569 503 449.95
429.13 1.000576 1.824993E-2 0.658522  3.460E-5 8.30496 533 450.05
429.45 1.000576 1.867394E-2 0.658432  3.444E-5 8.30412 563 450.10
429.76 1.000576 1.849251E-2 0.658165  3.448E-5 8.30455 593 450.20
430.06 1.000576 1.865492E-2 0.658162  3.443E-5 8.30454 622 450.20
430.36 1.000576 1.872613E-2 0.658141  3.441E-5 8.30313 652 450.30
430.64 1.000576 1.881115E-2 0.657662  3.449E-5 8.30213 682 450.20
430.92 1.000576 1.891477E-2 0.657475  3.454E-5 8.30299 712 450.25
431.19 1.000576 1.859126E-2 0.657405  3.465E-5 8.30176 742 450.30
431.44 1.000576 1.872971E-2 0.657177  3.452E-5 8.30059 771 450.30
