Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 14 550 2.0 290 90 7.000  60 3.0E-1
29.11.2013, 11:51

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
538.69 7.000840 2.513835E-2 0.608800  1.120E-4 8.04299 65 549.65
538.71 7.000840 2.513077E-2 0.609000  1.118E-4 8.04227 134 548.40
538.52 7.000840 2.513292E-2 0.608923  1.120E-4 8.04361 203 546.55
538.14 7.000840 2.518935E-2 0.608995  1.119E-4 8.04252 272 544.30
537.58 7.000840 2.522602E-2 0.608981  1.120E-4 8.04429 341 542.00
536.81 7.000840 2.528596E-2 0.609125  1.118E-4 8.04271 409 539.70
535.81 7.000840 2.536796E-2 0.609160  1.118E-4 8.04326 478 537.40
534.60 7.000840 2.544150E-2 0.609536  1.120E-4 8.04119 547 535.15
533.32 7.000840 2.553958E-2 0.609779  1.118E-4 8.03946 616 532.90
531.91 7.000840 2.562325E-2 0.609984  1.117E-4 8.03868 685 530.55
530.37 7.000840 2.575074E-2 0.610176  1.117E-4 8.03593 753 528.25
528.77 7.000840 2.589300E-2 0.610076  1.116E-4 8.03563 822 525.90
527.08 7.000840 2.606319E-2 0.610348  1.118E-4 8.03411 891 523.60
525.31 7.000840 2.623276E-2 0.610720  1.116E-4 8.03172 960 521.30
523.51 7.000840 2.644033E-2 0.610922  1.116E-4 8.02967 1029 519.00
521.69 7.000840 2.667117E-2 0.611196  1.115E-4 8.02711 1097 516.85
519.81 7.000840 2.690907E-2 0.611874  1.115E-4 8.02385 1166 514.60
517.91 7.000840 2.717063E-2 0.612344  1.113E-4 8.02170 1235 512.25
515.96 7.000840 2.743315E-2 0.612845  1.113E-4 8.01787 1304 509.85
513.96 7.000840 2.771893E-2 0.613386  1.111E-4 8.01405 1373 507.45
511.90 7.000840 2.804564E-2 0.613882  1.110E-4 8.01103 1441 505.05
509.81 7.000840 2.840071E-2 0.614511  1.110E-4 8.00630 1510 502.65
507.67 7.000840 2.879107E-2 0.615076  1.108E-4 8.00354 1579 500.30
505.54 7.000840 2.918636E-2 0.615632  1.107E-4 7.99936 1648 498.10
503.39 7.000840 2.961182E-2 0.616211  1.106E-4 7.99743 1717 495.80
501.23 7.000840 3.006867E-2 0.617004  1.105E-4 7.99295 1785 493.60
499.12 7.000840 3.055977E-2 0.617753  1.104E-4 7.98829 1854 491.30
496.97 7.000840 3.110085E-2 0.618534  1.102E-4 7.98373 1923 489.10
494.87 7.000840 3.165205E-2 0.619260  1.101E-4 7.97948 1992 486.75
492.71 7.000840 3.223772E-2 0.620062  1.100E-4 7.97576 2061 484.50
490.58 7.000840 3.284264E-2 0.620928  1.098E-4 7.97118 2129 482.15
488.43 7.000840 3.344444E-2 0.621739  1.097E-4 7.96723 2198 479.80
486.27 7.000840 3.409769E-2 0.622404  1.095E-4 7.96288 2267 477.45
484.13 7.000840 3.477194E-2 0.623279  1.093E-4 7.95888 2336 475.20
481.97 7.000840 3.549369E-2 0.624031  1.092E-4 7.95589 2405 472.90
479.84 7.000840 3.625862E-2 0.624884  1.090E-4 7.95265 2473 470.60
477.72 7.000840 3.703036E-2 0.626005  1.089E-4 7.94973 2542 468.30
475.61 7.000840 3.777370E-2 0.627253  1.087E-4 7.94463 2611 466.10
473.51 7.000840 3.849198E-2 0.628598  1.084E-4 7.94053 2680 463.80
471.41 7.000840 3.916337E-2 0.629850  1.081E-4 7.93732 2748 461.55
469.31 7.000840 3.978305E-2 0.631102  1.080E-4 7.93379 2817 459.35
467.21 7.000840 4.033642E-2 0.632477  1.077E-4 7.93068 2886 457.15
465.11 7.000840 4.079030E-2 0.633904  1.075E-4 7.92714 2955 454.85
462.99 7.000840 4.115378E-2 0.635443  1.072E-4 7.92350 3023 452.45
460.88 7.000840 4.136963E-2 0.637078  1.070E-4 7.91879 3092 450.10
458.80 7.000840 4.143872E-2 0.638659  1.066E-4 7.91552 3161 447.75
456.74 7.000840 4.131900E-2 0.640289  1.064E-4 7.91272 3229 445.40
454.62 7.000840 4.101939E-2 0.641935  1.061E-4 7.90836 3298 443.10
452.57 7.000840 4.055493E-2 0.643568  1.059E-4 7.90528 3367 440.85
450.51 7.000840 3.992108E-2 0.645175  1.056E-4 7.90149 3435 438.60
448.38 7.000840 3.916687E-2 0.646712  1.054E-4 7.89765 3504 436.40
446.36 7.000840 3.826497E-2 0.648133  1.050E-4 7.89365 3573 434.10
444.27 7.000840 3.730506E-2 0.649505  1.048E-4 7.89074 3642 431.85
442.22 7.000840 3.629169E-2 0.650776  1.046E-4 7.88620 3710 429.50
440.22 7.000840 3.526632E-2 0.651973  1.046E-4 7.88309 3779 427.20
438.18 7.000840 3.427417E-2 0.653118  1.044E-4 7.87925 3848 424.90
436.15 7.000840 3.328003E-2 0.654150  1.041E-4 7.87654 3916 422.65
434.16 7.000840 3.226388E-2 0.655040  1.040E-4 7.87317 3985 420.35
432.18 7.000840 3.134183E-2 0.655856  1.039E-4 7.86928 4054 418.05
430.17 7.000840 3.046780E-2 0.656603  1.037E-4 7.86555 4122 415.70
428.16 7.000840 2.967750E-2 0.657341  1.036E-4 7.86205 4191 413.40
426.17 7.000840 2.890483E-2 0.657966  1.035E-4 7.85841 4260 411.10
424.18 7.000840 2.819126E-2 0.658558  1.035E-4 7.85543 4329 408.90
422.22 7.000840 2.755225E-2 0.659047  1.034E-4 7.85297 4397 406.65
420.26 7.000840 2.691902E-2 0.659348  1.032E-4 7.85106 4466 404.55
418.29 7.000840 2.635148E-2 0.659711  1.033E-4 7.84888 4535 402.20
416.33 7.000840 2.583605E-2 0.660154  1.030E-4 7.84633 4603 399.90
414.40 7.000840 2.540518E-2 0.660568  1.031E-4 7.84288 4672 397.70
412.47 7.000840 2.502033E-2 0.661025  1.030E-4 7.84025 4741 395.40
410.56 7.000840 2.460903E-2 0.661456  1.030E-4 7.83673 4809 393.20
408.64 7.000840 2.421220E-2 0.661783  1.030E-4 7.83345 4878 390.90
406.74 7.000840 2.393380E-2 0.662088  1.029E-4 7.83172 4947 388.65
404.83 7.000840 2.369093E-2 0.662380  1.028E-4 7.82996 5016 386.45
