Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 1 298 2.0 550 60 1.000  60 3.0E-1
27.11.2013, 11:16

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
298.55 1.000576 4.074716E-3 0.697410  9.748E-5 8.11051 73 301.80
298.68 1.000576 4.091223E-3 0.697544  9.768E-5 8.11232 143 303.10
298.88 1.000576 3.851397E-3 0.697577  9.762E-5 8.11062 212 304.80
299.16 1.000576 4.006639E-3 0.697603  9.752E-5 8.10927 282 306.80
299.42 1.000576 3.831081E-3 0.697593  9.777E-5 8.10995 352 309.15
299.77 1.000576 3.846595E-3 0.697606  9.764E-5 8.10881 421 311.55
300.23 1.000576 3.798994E-3 0.697465  9.764E-5 8.11036 491 314.00
300.74 1.000576 3.643216E-3 0.697484  9.766E-5 8.11024 560 316.45
301.37 1.000576 3.839393E-3 0.697349  9.765E-5 8.11036 630 318.85
302.06 1.000576 3.749230E-3 0.697270  9.769E-5 8.11087 700 321.25
302.81 1.000576 3.720286E-3 0.697234  9.767E-5 8.11022 769 323.60
303.63 1.000576 3.822924E-3 0.696995  9.769E-5 8.11101 839 325.95
304.52 1.000576 3.687468E-3 0.696883  9.774E-5 8.11042 908 328.40
305.49 1.000576 3.724955E-3 0.696462  9.775E-5 8.11256 978 330.80
306.52 1.000576 3.721385E-3 0.696457  9.776E-5 8.11219 1048 333.15
307.61 1.000576 3.867650E-3 0.696134  9.776E-5 8.11306 1117 335.55
308.78 1.000576 3.717881E-3 0.695802  9.796E-5 8.11327 1187 337.90
309.98 1.000576 3.710909E-3 0.695460  9.785E-5 8.11249 1256 340.25
311.22 1.000576 3.932313E-3 0.695523  9.793E-5 8.11222 1326 342.55
312.49 1.000576 3.695239E-3 0.695135  9.780E-5 8.11086 1396 344.85
313.86 1.000576 3.631761E-3 0.694444  9.805E-5 8.11498 1465 347.15
315.28 1.000576 3.688563E-3 0.694295  9.809E-5 8.11303 1535 349.40
316.76 1.000576 3.822498E-3 0.694338  9.794E-5 8.10970 1604 351.65
318.28 1.000576 3.665993E-3 0.694078  9.815E-5 8.10945 1674 353.90
319.87 1.000576 3.782806E-3 0.693669  9.821E-5 8.10965 1744 356.15
321.50 1.000576 3.803142E-3 0.693431  9.802E-5 8.10678 1813 358.50
323.17 1.000576 3.774462E-3 0.692910  9.819E-5 8.10834 1883 360.85
324.85 1.000576 3.768812E-3 0.692565  9.823E-5 8.10739 1952 363.15
326.57 1.000576 3.894993E-3 0.692296  9.834E-5 8.10612 2022 365.50
328.35 1.000576 3.877718E-3 0.691886  9.836E-5 8.10488 2092 367.85
330.11 1.000576 3.958850E-3 0.691443  9.846E-5 8.10583 2161 370.20
331.98 1.000576 3.749933E-3 0.691077  9.847E-5 8.10463 2231 372.50
333.82 1.000576 3.885094E-3 0.690700  9.851E-5 8.10292 2300 374.85
335.67 1.000576 4.024439E-3 0.690320  9.852E-5 8.10169 2370 377.20
