Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 1 297 2.0 550 15 1.000  20 3.0E-1
20.11.2013, 12:18

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
336.84 1.000576 5.105124E-3 0.670847  1.093E-5 8.54899 3823 359.30
377.70 1.000576 4.845365E-3 0.671011  1.026E-4 8.28218 3853 422.30
378.71 1.000576 4.909689E-3 0.670929  1.027E-4 8.26775 3882 423.30
379.79 1.000576 4.856097E-3 0.670750  1.025E-4 8.25316 3912 424.35
380.81 1.000576 4.752720E-3 0.670620  1.022E-4 8.25790 3942 425.35
381.87 1.000576 5.169458E-3 0.670648  1.026E-4 8.25444 3972 426.40
382.93 1.000576 4.969521E-3 0.670382  1.015E-4 8.24986 4002 427.40
384.03 1.000576 4.932084E-3 0.670140  1.032E-4 8.24468 4031 428.40
385.07 1.000576 5.160269E-3 0.670038  1.022E-4 8.24220 4061 429.40
386.15 1.000576 5.373867E-3 0.669762  1.029E-4 8.23504 4091 430.40
387.24 1.000576 5.096790E-3 0.669584  1.026E-4 8.23146 4121 431.35
388.33 1.000576 5.193070E-3 0.669560  1.041E-4 8.21963 4151 432.35
389.42 1.000576 5.267229E-3 0.669255  1.028E-4 8.21272 4180 433.35
390.54 1.000576 5.587982E-3 0.669015  1.028E-4 8.21498 4210 434.35
391.64 1.000576 5.309424E-3 0.669009  1.027E-4 8.21674 4240 435.35
392.76 1.000576 5.385261E-3 0.668877  1.025E-4 8.20971 4270 436.35
393.83 1.000576 5.582310E-3 0.668209  1.023E-4 8.21236 4300 437.35
394.92 1.000576 5.624587E-3 0.667987  1.033E-4 8.19401 4329 438.35
396.01 1.000576 5.817609E-3 0.667963  1.039E-4 8.19933 4359 439.35
397.10 1.000576 6.105050E-3 0.667810  1.025E-4 8.20127 4389 440.30
