Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 9 380 2.0 390 120 1.000  20 1.0E-1
22.11.2013, 00:57

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
367.64 1.000576 3.169036E-3 0.675438  3.398E-5 8.50197 26 380.00
367.65 1.000576 3.013721E-3 0.675331  3.389E-5 8.49861 56 380.25
367.64 1.000576 3.250158E-3 0.675242  3.390E-5 8.49658 86 380.75
367.65 1.000576 2.998680E-3 0.674898  3.395E-5 8.49523 116 381.35
367.66 1.000576 2.829065E-3 0.675196  3.396E-5 8.49472 146 382.05
367.68 1.000576 2.500273E-3 0.675204  3.386E-5 8.49469 176 382.80
367.72 1.000576 3.338301E-3 0.675497  3.385E-5 8.49340 206 383.75
367.78 1.000576 2.513781E-3 0.675251  3.387E-5 8.49272 236 384.60
367.85 1.000576 2.954929E-3 0.675188  3.394E-5 8.49321 266 385.60
367.95 1.000576 2.789398E-3 0.675068  3.390E-5 8.49264 296 386.65
368.07 1.000576 3.070978E-3 0.675054  3.380E-5 8.49127 325 387.60
368.20 1.000576 3.165253E-3 0.675404  3.389E-5 8.49173 355 388.45
368.36 1.000576 3.201341E-3 0.674988  3.392E-5 8.49173 385 389.05
368.53 1.000576 3.265508E-3 0.674888  3.395E-5 8.49042 415 389.55
368.72 1.000576 3.008561E-3 0.675370  3.383E-5 8.49189 445 389.85
368.94 1.000576 3.008762E-3 0.675232  3.399E-5 8.49049 475 390.10
369.15 1.000576 2.948070E-3 0.675204  3.393E-5 8.49118 505 390.30
369.37 1.000576 2.990332E-3 0.675023  3.388E-5 8.49126 535 390.40
369.59 1.000576 3.274646E-3 0.674918  3.389E-5 8.49113 565 390.40
369.82 1.000576 2.879992E-3 0.675267  3.395E-5 8.49066 595 390.40
370.03 1.000576 2.919535E-3 0.675187  3.377E-5 8.49002 624 390.40
370.26 1.000576 3.073085E-3 0.674885  3.381E-5 8.49117 654 390.40
