materiel[*][*]		epaisseur[cm][*]	temps[s][*]		acoups[*][*]
#N/A					0					158.2			29238
#N/A					0					72.2			11787
#N/A					0					12.6			2067

#Al					0.5					15.1			2130
#Al					0.5					13.7			2055
#Al					0.5					14.1			2062

#Al					1.0					17.1			2031
#Al					1.0					15.5			2035
#Al					1.0					16.4			2020

N/A					0					65.6			1188
N/A					0					54.1			999

Al					0.5					58.1			1006
Al					0.5					61.8			1016

Al					1.0					69.9			1035
Al					1.0					64.2			1003

Al					1.5					70.8			1022
Al					1.5					75.2			1123

Al					2.0					80.1			1030
Al					2.0					81.3			1049

Al					4.0					112.3			1015
Al					4.0					121.8			1049

Al					8.0					277.1			1169
Al					12.0				465.5			967

Pb					0.5					94.4			1030
Pb					0.5					91.8			1031

Pb					1.0					176.6			1203
Pb					1.0					140.2			1003

Pb					1.5					249.5			1067
Pb					2.0					388.5			1050
Pb					2.5					506.0			788
Pb					3.0					
