#Assistant: 0774437665
pulse[us][*]	mean_integral[*][*]	deviation_integral[*][*]
#2	176.3
#2	121.4
#2	119.9
#2	118.8
#2	124.3
#Mean
2	132.14	22.15

#3	178.5
#3	176.5
#3	238.7
#3	191.8
#3	178.0
#3	176.6
#Mean
3	189.017	56.57

#4	233.8
#4	245.4
#4	266.1
#4	244.2
#4	267.3
#Mean
4	251.36	12.01

#5	280.0
#5	311.5
#5	327.4
#5	342.7
#5	301.9
#Mean
5	270.86	23.52

#6	382.3
#6	386.0
#6	359.6
#6	361.1
#6	382.9
#Mean
6	340.28	57.1

#7	459.8
#7	424.0
#7	434.7
#7	417.9
#7	421.1
#Mean
#7	431.5	15.23

#New
#7	1215
#7	484.7

#8	530.3
#8	481.9

#9	485.6
#9	524.1

#10	524.3
#10	576.8

#11	603.2
#11	674.3

#12	649.6
#12	718.9

#13	671.9
#13	743

#14	717.5
#14	823.7

#8	514.8
#8	489.9
#8	524.4
#8	493.4
#8	521.9
#Mean
#8	508.88	14.45
8	508.88	14.45


#9	571
#9	568.6
#9	549.3
#9	561.5
#9	573.4
#Mean
9	564.76	22.15


#10	601.8
#10	658.4
#10	633.1
#10	621.2
#10	595.7
#Mean
10	622.04	22.57


#11	754.9
#11	673.9
#11	758.1
#11	705.6
#11	668.1
#Mean
11	712.12	38.43


#12	886.4
#12	940.8
#12	967.8
#12	812.9
#12	1022.0
#Mean
#12	925.98	71.47
12	787.20	71.47


#13	1038
#13	743
#13	866.5
#13	810.8
#13	745.9
#Mean
13	840.84	108.64


#14	831.6
#14	835.1
#14	961.8
#14	1137.0
#14	887.0
#14	1094.0
#Mean
14	957.75	120.19


#15	848.1
#15	858.1
#15	894.9
#15	1060.0
#15	833.6
#15	929.0	
#Mean
15	903.95	76.62


#16	1026.0
#16	1222.0
#16	1148.0
#16	1151.0
#16	852.1
#16	1005.0
#Mean
16	1067.35	122.03


#17	1243.0
#17	954.3
#17	1233.0
#17	1221.0
#17	1160.0
#17	932.6
#17	1236.0
#Mean
17	1139.99	127.0


#18	1303.0
#18	1323.0
#18	1325.0
#18	1299.0
#18	1348.0
#Mean
#18	1319.6	17.59
18	1119.6	17.59


#20	1180.0
#20	1211.0
#20	1345.0
#20	1351.0
#20	1359.0
#Mean
#20	1289.2	77.259
20	1089.2	77.259

#22	1371.0
#22	1387.0
#22	1354.0
#22	1346.0
#22	1361.0
#Mean
#22	1363.8	14.21
22	1163.8	14.21

#25	1374.0
#25	1384.0
#25	1395.0
#25	1360.0
#25	1372.0
#Mean
#25	1377	11.8
25	1177	11.8

#27	1378.0
#27	1347.0
#27	1352.0
#27	1359.0
#27	1389.0
#Mean
#27	1365	15.96
27	1165	15.96


#
#
#
#30	1333.0
#30	1263.0
#30	1292.0
#30	1351.0
#30	1331.0
#Mean
#30	1314	31.95
30	1114	31.95


#32	1151.0
#32	1081.0
#32	1122.0
#32	1136.0
#32	1162.0
#Mean
32	1130.4	28.161


#
#
#
#35	1054
#35	1027
#35	1147
#35	875.2
#35	1034
#Mean
35	1027.44	87.4


#37	850.7
#37	935.9
#37	906.2
#37	807.8
#37	896.7
#Mean
37	879.46	45.1

#
#
#
#40	782.6
#40	732.8
#40	688.9
#40	692.4
#40	713.6
#Mean
40	722.06	34.15

#44	598.3
#44	477.9
#44	550.0
#44	459.4
#44	411
#Mean
44	499.32	66.66
